,SCHB,QQQ,SCHZ,SCHF,SCHE,SCHH,SCHA,SCHP,SCHC,GLD
SCHB,1.0,0.96,0.81,0.68,0.72,0.2,0.77,0.87,0.42,0.8
QQQ,0.96,1.0,0.9,0.52,0.62,-0.04,0.6,0.95,0.26,0.91
SCHZ,0.81,0.9,1.0,0.26,0.37,0.01,0.3,0.98,-0.06,0.96
SCHF,0.68,0.52,0.26,1.0,0.93,0.28,0.9,0.35,0.93,0.31
SCHE,0.72,0.62,0.37,0.93,1.0,0.1,0.82,0.47,0.84,0.47
SCHH,0.2,-0.04,0.01,0.28,0.1,1.0,0.37,-0.05,0.16,-0.18
SCHA,0.77,0.6,0.3,0.9,0.82,0.37,1.0,0.4,0.81,0.31
SCHP,0.87,0.95,0.98,0.35,0.47,-0.05,0.4,1.0,0.06,0.97
SCHC,0.42,0.26,-0.06,0.93,0.84,0.16,0.81,0.06,1.0,0.04
GLD,0.8,0.91,0.96,0.31,0.47,-0.18,0.31,0.97,0.04,1.0
,
Raw_SD,9.08,47.75,3.29,2.18,2.24,3.68,7.37,3.5,2.71,21.65
Scaled_SD,0.0964,0.1453,0.0584,0.0581,0.067,0.0782,0.0759,0.0562,0.0698,0.1117
,
Raw_Growth_%,0.6853,1.3609,0.1804,0.296,0.4366,0.0362,0.5307,0.2067,0.2761,0.4424
Growth_With_Divs_%,0.7779,1.4011,0.2907,0.4196,0.5645,0.1627,0.5913,0.2886,0.3941,0.4424
,
Total_Dividends_$,4.98,5.36,5.2,3.41,2.82,4.63,3.66,4.23,3.46,0.0
Divs_First_Rel_%,0.0926,0.0402,0.1102,0.1236,0.1279,0.1265,0.0606,0.0819,0.118,0.0
Divs_Last_Rel_%,0.0549,0.017,0.0934,0.0954,0.089,0.1221,0.0396,0.0679,0.0924,0.0
,
Low_Price_$,51.31,132.14,46.61,21.81,18.27,26.25,43.94,50.89,20.36,111.1
High_Price_$,94.16,328.59,56.38,37.53,33.38,47.06,97.05,62.31,38.81,193.89
